Ana López-PRIMERO-INFORMATICA-18
Carlos Pérez-SEGUNDO-PUBLICIDAD-19
Lucía Gómez-PRIMERO-PUBLICIDAD-18
Miguel Torres-TERCERO-INFORMATICA-20
Laura Sánchez-PRIMERO-MARKETING-19
Pedro Ruiz-SEGUNDO-INFORMATICA-20
Marta Díaz-PRIMERO-PUBLICIDAD-18
Jorge Martín-SEGUNDO-MARKETING-19
Elena Prieto-TERCERO-PUBLICIDAD-21
Sergio Ramos-PRIMERO-INFORMATICA-18
Raúl Hernández-SEGUNDO-INFORMATICA-19
Patricia Gil-TERCERO-MARKETING-20
David Ortiz-SEGUNDO-PUBLICIDAD-20
Sonia Romero-PRIMERO-MARKETING-18
Luis Navarro-TERCERO-INFORMATICA-21
Clara Muñoz-SEGUNDO-MARKETING-19
Iván Ferrer-PRIMERO-INFORMATICA-19
Rosa Vega-SEGUNDO-PUBLICIDAD-18
